City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kudahuvadhoo,-33.0153,27.9116,62.6,100,0,6.91,ZA,1618461993
florianopolis,-28.55,16.4333,77.85,27,0,9.55,NA,1618461993
inhambane,27.5833,91.8667,59.52,38,51,8.48,IN,1618461994
gayny,-24.7911,-50.0119,52.83,97,83,7.11,BR,1618461994
brus,71.9167,114.0833,3.99,84,23,4.61,RU,1618461994
longyearbyen,34.8022,117.1117,68.79,50,33,15.17,CN,1618461791
san borja,3.1667,113.0333,80.6,89,40,4.61,MY,1618461995
ribeira grande,35.7565,-83.9705,55.99,94,90,5.75,US,1618461709
lethem,50.2314,106.2078,42.01,24,93,6.53,MN,1618461996
tuktoyaktuk,-32.6259,-62.6887,55.99,97,0,5.19,AR,1618461996
east london,-5.0892,-81.1144,70.32,76,51,9.33,PE,1618461996
oranjemund,68.2191,-135.0107,32,69,100,3.44,CA,1618461997
tawang,32.2994,-9.2372,61.56,88,0,4.52,MA,1618461997
castro,33.6671,-93.5916,55,67,63,1.01,US,1618461905
saskylakh,-1.85,34.7,61.61,90,98,2.89,TZ,1618461998
xiazhen,-43.5333,172.6333,61,77,99,9.22,NZ,1618461955
bintulu,65.9667,78.3667,36.48,100,100,14.94,RU,1618461999
maryville,70.6333,147.9167,7.32,84,81,7.56,RU,1618461999
suhbaatar,-8.4667,140.3333,86.11,59,92,13.71,ID,1618461797
bell ville,-2.5744,150.7967,84.31,68,58,8.5,PG,1618461860
paita,-2.6741,141.3028,84.83,68,99,6.29,PG,1618462000
aklavik,-33.6971,-53.4616,62.22,86,66,7.81,UY,1618462001
asfi,-20.3167,118.5667,91.4,35,34,14.97,AU,1618462001
hope,-13.7,-76.2167,64.4,88,0,9.22,PE,1618461883
mugumu,-14.25,129.55,91.54,32,62,5.73,AU,1618462002
barentsburg,65.6145,-37.6368,30.2,93,75,31.07,GL,1618461865
angra,64.8378,-147.7164,46.4,56,90,6.91,US,1618462002
christchurch,-38.0023,-57.5575,59,88,0,6.91,AR,1618461900
urengoy,10.1755,-70.0827,78.17,68,100,4.34,VE,1618462003
chokurdakh,-9.8756,-56.0861,70.57,97,100,2.35,BR,1618461831
merauke,-10.0681,-78.1522,67.53,85,94,7.36,PE,1618462005
kavieng,18.6411,72.8792,89.6,62,0,3.44,IN,1618462005
vanimo,-43.3002,-65.1023,65.79,46,70,19.73,AR,1618461957
chuy,-28.8667,153.5667,82.4,57,2,10.36,AU,1618461916
port hedland,59.3833,143.3,29.46,61,100,9.95,RU,1618462006
kegayli,30.0335,-89.9501,68,88,90,3.44,US,1618462006
pisco,46.4333,26.4,39.99,62,100,4.43,RO,1618462007
port keats,-11.3847,43.2844,81.7,74,94,7.72,KM,1618462007
tasiilaq,71.6872,128.8694,15.24,89,50,3.33,RU,1618461863
fairbanks,64.3833,-173.3,23,68,0,4.47,RU,1618461875
mar del plata,44.4167,1.3333,35.6,69,0,3.44,FR,1618462008
carora,37.2001,-94.3502,51.8,58,1,5.75,US,1618462009
alta floresta,24.3333,93.6667,77,69,75,11.5,IN,1618462009
paradwip,62.456,-114.3525,30.99,59,20,4.61,CA,1618461713
huarmey,20.15,92.9,86.13,64,82,8.9,MM,1618462010
alibag,19.9333,-105.25,66.79,88,0,1.45,MX,1618462010
rawson,17.0151,54.0924,80.6,74,75,4.61,OM,1618462010
ballina,73.5069,80.5464,-9.96,95,100,11.43,RU,1618462011
okhotsk,71.0357,27.8492,30.2,74,40,11.5,NO,1618462011
orleans,69.4719,25.5112,28.4,80,75,8.05,NO,1618462012
asau,62.2266,-6.589,44.6,100,40,10.36,FO,1618462012
mitsamiouli,31.2222,121.4581,62.6,51,0,11.18,CN,1618461905
tiksi,-3.4833,23.4333,67.48,96,83,1.9,CD,1618461744
provideniya,-41.4122,175.5153,62.6,72,75,16.11,NZ,1618462013
cahors,-21.3585,55.7679,78.8,73,0,4.61,RE,1618461858
jasper,51.226,-58.6502,32.79,83,2,3.96,CA,1618461801
churachandpur,-5.2246,145.7966,85.39,66,84,7.52,PG,1618462014
yellowknife,-45.5752,-72.0662,41.18,96,29,5.68,CL,1618462014
akyab,14.4,46.4667,77.13,33,2,3.96,YE,1618462015
tomatlan,25.2867,51.5333,82.99,42,0,13.8,QA,1618461942
salalah,-21.2,-175.2,78.8,78,40,8.05,TO,1618461789
nizhneyansk,-35.1667,173.1667,64.6,68,37,10.18,NZ,1618462015
dikson,60.7253,114.9278,32.88,74,100,7.05,RU,1618462016
mehamn,6.8833,73.1,84.22,68,51,5.53,MV,1618462016
karasjok,-6.4333,39.55,77,94,75,12.66,TZ,1618462016
klaksvik,-6.8844,112.2051,86.14,65,61,4.27,ID,1618462017
shanghai,55.2999,-123.1698,41,60,1,3.02,CA,1618461905
lodja,13.9667,74.5667,88.99,57,5,4.79,IN,1618462017
waipawa,57.1437,-2.0981,28.4,93,15,3.44,GB,1618461780
saint-philippe,33.194,-82.5271,71.6,56,90,5.75,US,1618461805
saint-augustin,22.6783,-3.9836,79.81,16,0,13.89,ML,1618462018
rungata,56.4857,66.9241,58.19,73,14,11.05,RU,1618462019
madang,44.7142,43.0008,46.4,81,33,4.47,RU,1618462019
coihaique,40.8106,111.6522,44.6,33,32,29.08,CN,1618461965
marzuq,-22.6667,167.4833,75.07,79,85,21.23,NC,1618461959
doha,23.3687,104.28,78.69,42,100,13.69,CN,1618462020
vaini,38.2333,-121.9511,60.8,58,1,17.27,US,1618462020
ahipara,27.9667,-110.8167,68,74,91,3,MX,1618462021
lensk,10.9995,122.6711,88.47,59,94,9.44,PH,1618462021
dhidhdhoo,7.0419,134.2556,78.53,86,100,31.41,PW,1618462021
sokoni,59.6425,-151.5483,37.4,87,90,5.75,US,1618461905
labuhan,39.7432,98.5174,49.12,13,1,4.23,CN,1618462022
mackenzie,-9.6567,120.2641,84.13,68,38,8.63,ID,1618462023
bhatkal,43.2662,-1.9762,42.01,87,0,2.3,ES,1618462023
aberdeen,28.3667,129.4833,68,73,75,13.8,JP,1618462023
avera,70.4692,-68.5914,-4,71,1,17.27,CA,1618462024
belushya guba,60.5544,-151.2583,39.2,93,90,2.8,US,1618461991
taoudenni,26.1247,127.6694,75.2,60,75,10.36,JP,1618462024
novaya zaimka,-2.65,10,74.93,85,100,3.42,GA,1618462025
aleksandrovskoye,24.4058,109.6086,67.19,88,100,4.45,CN,1618462025
hohhot,35.1833,132.5,60.8,39,0,14.97,JP,1618462026
vao,-27.4606,-58.9839,73,88,0,2.3,AR,1618462026
kaihua,5.4112,100.3354,89.6,66,20,2.3,MY,1618462026
solano,51.8,68.3333,43.7,47,2,2.04,KZ,1618462027
empalme,18.8167,95.2167,99.34,26,85,4.12,MM,1618461742
dingle,48.5669,-78.1162,41,87,90,4.61,CA,1618462027
kloulklubed,37.6138,-122.4869,54,87,75,3.44,US,1618462028
homer,68.0546,166.4372,14.07,72,24,3.36,RU,1618462028
jiuquan,44.7631,-85.6206,37.4,87,90,5.75,US,1618461927
tabiauea,39.8532,3.1214,54,82,100,1.99,ES,1618462029
waingapu,-35.7167,150.1833,70,65,7,5.01,AU,1618462029
hernani,13.3167,75.7833,79.86,53,22,2.98,IN,1618462029
naze,37.4636,-122.4286,55.4,87,75,3.44,US,1618461883
clyde river,52.3989,13.0657,34,82,100,5.17,DE,1618462030
kenai,52.2667,79.1667,53.73,65,90,6.31,RU,1618462031
itoman,71.9667,102.5,1.4,86,73,8.86,RU,1618462031
gamba,25.1167,114.3,68.27,89,100,1.66,CN,1618462031
luorong,-20.0064,57.6608,82,77,77,5.99,MU,1618462032
oda,60.4667,166.1,23.81,92,100,5.75,RU,1618462032
resistencia,-7,23.45,62.19,95,100,2.93,CD,1618462033
georgetown,42.0304,-8.1588,46.99,85,54,5.99,PT,1618462033
atbasar,40.4272,71.7189,66.2,37,100,6.91,UZ,1618462034
pyay,-23.7,133.8833,81,31,1,12.66,AU,1618461913
amos,66.0764,33.0381,32.11,76,8,7.31,RU,1618462034
pacifica,60.1432,-45.2371,31.6,91,54,14.27,GL,1618462034
bilibino,24.5167,103.7667,79.07,23,60,11.56,CN,1618462035
traverse city,33.6668,-95.5836,57.2,88,90,8.05,US,1618462035
alcudia,-20.5167,57.5167,78.8,89,75,3.44,MU,1618462036
batemans bay,-20.9373,55.2919,78.8,65,99,12.66,RE,1618462036
chikmagalur,5.8933,95.3214,83.43,73,75,7.25,ID,1618462036
attawapiskat,26.7693,31.5021,60.8,27,0,5.75,EG,1618461985
obarsia-closani,-46.1333,167.6833,59,84,99,11.99,NZ,1618462037
half moon bay,22.2855,114.1577,73.99,86,99,1.99,HK,1618461963
potsdam,34.8791,-76.9013,69.01,86,100,10,US,1618462038
klyuchi,-23.65,-70.4,60.8,77,20,3.44,CL,1618462039
khatanga,36.365,6.6147,51.8,93,75,2.3,DZ,1618462039
xiongzhou,56.092,54.2703,53.58,66,41,6.87,RU,1618462039
grand gaube,-17.7125,-39.2481,75.94,65,86,9.64,BR,1618461926
grand river south east,46.7281,29.7078,44.6,93,75,11.5,MD,1618462041
tilichiki,-22.9661,-42.0278,72.77,67,55,4.16,BR,1618462041
mwene-ditu,34.5667,76.1,38.79,43,95,3.33,IN,1618462042
vila,1.2376,111.4621,87.8,70,40,3.44,MY,1618462042
komsomolskiy,29.5958,-90.7195,70,100,90,6.91,US,1618461894
alice springs,-38.2667,141.9667,61.74,64,81,19.64,AU,1618462043
loukhi,7.7669,-72.225,71.6,100,40,8.05,VE,1618462043
nanortalik,-26.7852,-60.4388,73,84,71,5.41,AR,1618462043
zhongshu,57.976,61.6673,57.22,69,26,10.09,RU,1618462044
lamar,-34.5703,-59.105,66,91,0,3,AR,1618461947
souillac,6.7085,121.9711,86,79,40,10.36,PH,1618461955
le port,24.3448,124.1572,77,83,75,10.36,JP,1618461923
sabang,45.4552,41.9741,53.6,58,0,2.08,RU,1618462045
tahta,45.4375,40.5756,52.09,77,11,5.14,RU,1618462045
chagda,31.6725,38.6637,53.6,40,0,6.91,SA,1618461892
tuatapere,69.7008,170.3133,8.96,78,12,4.21,RU,1618462046
victoria,39.4101,-74.3646,55,100,90,5.75,US,1618462047
nguiu,-26.5333,151.8333,81,36,0,5.75,AU,1618462047
havelock,37.7799,-121.978,54,58,1,8.05,US,1618461876
antofagasta,14.8961,-24.4956,74.71,63,21,18.16,CV,1618461864
constantine,-16.4833,-151.75,82.42,73,100,10.98,PF,1618462048
neftekamsk,29.9576,122.298,53.13,86,100,6.46,CN,1618462048
caravelas,58.9564,126.2925,35.02,62,100,9.22,RU,1618461990
slobozia,-16.1944,-55.9675,78.8,73,0,5.75,BR,1618462049
arraial do cabo,42.7762,-9.0603,51.01,75,29,1.01,ES,1618462049
kargil,-28.783,32.0377,73,83,63,6.58,ZA,1618461987
sri aman,18.7333,-103.6833,70.02,85,0,3.27,MX,1618461920
houma,46.4856,135.8833,39.79,33,20,12.08,RU,1618461863
codrington,47.3821,-61.8597,33.8,86,7,10.36,CA,1618462050
san cristobal,61.9875,5.1352,39.99,85,19,5.61,NO,1618462050
presidencia roque saenz pena,12.0564,-61.7485,80.6,83,20,10.36,GD,1618461787
verkhnyaya sinyachikha,39.3558,-9.3811,60.01,93,100,1.01,PT,1618462051
mocambique,17.997,-76.7936,78.8,53,20,5.75,JM,1618461772
lujan,-16.1564,33.5867,64.4,100,40,4.61,MZ,1618462052
isabela,26.3667,86.0833,99.28,12,64,7.07,IN,1618462052
ishigaki,15.7432,-96.4661,78.01,77,68,3,MX,1618462052
donskoye,71.2906,-156.7887,15.8,73,90,13.8,US,1618461963
kropotkin,38.8876,-76.5119,55.4,100,90,5.75,US,1618462053
turayf,10.6667,122.95,86.97,63,86,11.92,PH,1618462054
pevek,41.3712,-73.414,53.6,71,90,6.91,US,1618461802
brigantine,65.85,74.4859,32.95,98,100,17.16,RU,1618462054
kingaroy,60.34,102.2797,31.78,57,63,10.11,RU,1618462055
san ramon,61.0106,35.4781,32.99,84,100,5.53,RU,1618462055
sao filipe,2.8892,-72.1256,71.65,98,100,2.28,CO,1618462055
faanui,40.0833,-105.3505,37.4,80,90,8.05,US,1618461912
shenjiamen,38.421,-121.4238,60.8,47,1,8.05,US,1618462056
tommot,61.2767,108.0108,30.99,64,48,10.67,RU,1618462057
barao de melgaco,34.6851,135.8049,63,27,75,5.75,JP,1618461795
muros,63.7506,-68.5145,-5.8,77,1,14.97,CA,1618461825
richards bay,-19.0595,-169.9187,80.6,65,40,5.75,NU,1618462057
coahuayana,13.7796,124.39,81.54,81,100,8.59,PH,1618462058
vostok,-20.3297,-40.2925,71.6,78,0,4.61,BR,1618462058
cap-aux-meules,54.2331,-125.7533,39.2,60,59,1.14,CA,1618461905
raudeberg,-8.145,159.5921,83.84,71,37,2.17,SB,1618461935
saint-georges,39.522,-6.3748,55.17,94,100,4.61,ES,1618462059
peniche,11.2833,-15.8333,77.32,81,77,10.2,GW,1618462060
kingston,34.0164,44.1453,68.63,28,2,10.07,IQ,1618462060
tete,-20.0637,30.8277,59.52,77,0,1.63,ZW,1618462060
madhubani,42.1584,-72.3287,51.8,66,90,5.75,US,1618462037
pochutla,64.5011,-165.4064,33.8,75,1,5.75,US,1618461860
barrow,29.9502,-91.7507,68,94,90,8.05,US,1618462061
mayo,68.75,161.3,20.93,72,4,5.88,RU,1618462061
tumannyy,7.2236,124.2464,85.41,65,100,7.52,PH,1618462062
bacolod,58.0728,93.0344,36.77,60,92,8.21,RU,1618462062
bethel,30.9866,103.9393,62.6,77,75,4.47,CN,1618462063
pangody,77.484,-69.3632,-11.33,59,0,7.65,GL,1618461797
vanavara,-12.7406,-60.1458,67.68,98,99,2.95,BR,1618462063
voznesenye,38.3575,31.4164,50.07,65,69,3.62,TR,1618462064
mapiripan,70.8578,29.0864,30.2,74,40,11.5,NO,1618462064
boulder,43.4198,-4.7549,42.01,99,1,9.28,ES,1618462064
laguna,-3.7728,-61.6442,73.47,99,100,1.72,BR,1618462065
illoqqortoormiut,50.5667,123.7167,41.25,30,100,4.36,CN,1618462066
yerbogachen,30.2947,-81.3931,75.2,78,90,8.05,US,1618461900
nara,43.2686,-7.5406,42.01,96,4,4,ES,1618462067
iqaluit,25.0213,37.2685,76.03,45,0,10.76,SA,1618462067
alofi,-22.116,14.2845,80.01,30,0,1.99,NA,1618461835
gigmoto,-2.0226,147.2712,83.46,74,56,7.23,PG,1618462068
vila velha,-20.3428,57.7575,82,89,75,3.44,MU,1618462068
kamenskoye,-17.7833,-57.7667,74.25,57,16,2.62,BO,1618462069
burns lake,-41.8697,-73.8203,46,100,10,2.3,CL,1618461839
buala,3.2783,32.8867,70.2,80,71,3.44,UG,1618462070
caceres,27.9769,-114.0611,57.88,74,88,12.82,MX,1618462070
bubaque,56.1331,40.013,53.28,59,97,3.62,RU,1618462071
balad,49.5833,0.3333,35.6,87,0,8.05,FR,1618462071
masvingo,66.7697,123.3711,25.54,88,100,8.57,RU,1618462071
palmer,-14.4667,132.2667,93.2,31,0,9.22,AU,1618462072
nome,-21.8833,47.4333,72.72,85,91,0.81,MG,1618462072
iberia,10.7398,13.8019,76.51,25,64,4.45,CM,1618462073
cherskiy,-34.6515,-59.4307,57.99,97,0,5.93,AR,1618462073
cotabato,16.8634,-99.8901,77.97,66,93,6.2,MX,1618461830
strelka,-17,145.4333,86,48,75,14.97,AU,1618462074
tianpeng,28.419,30.7792,64.04,38,0,9.8,EG,1618462074
qaanaaq,70.9963,24.6622,32,55,75,6.91,NO,1618462074
vilhena,38.5368,-82.6829,48.99,100,75,3.44,US,1618462075
aksehir,-11.7358,24.4293,57.69,95,79,4.43,ZM,1618462075
berlevag,-20.7377,116.8463,88.11,45,44,14.92,AU,1618461960
llanes,29.3669,-94.9669,73.99,88,90,8.05,US,1618462076
anori,-45.8667,-67.5,57.2,44,0,19.57,AR,1618462076
alihe,-28.7667,114.6,78.8,25,0,14.97,AU,1618462076
jacksonville beach,58.9978,22.7492,39.2,75,0,6.91,EE,1618462077
bereda,29.5833,74.3167,95.47,10,46,9.69,IN,1618462077
aflu,5.5577,95.3222,85.66,68,58,6.49,ID,1618462001
umm lajj,-17.7333,-149.15,80.6,78,75,3.44,PF,1618462078
henties bay,69.2167,-51.1,14,62,75,12.66,GL,1618461922
lorengau,42.7297,133.0839,44.53,62,60,4.36,RU,1618462078
bambous virieux,39.2667,-81.5615,48,87,40,4.61,US,1618462079
puerto quijarro,-6.0989,106.6381,87.8,62,20,5.75,ID,1618462079
ancud,43.3236,145.575,46.4,36,75,5.75,JP,1618462079
kitgum,12.1667,104.55,96.21,40,22,3.74,KH,1618462080
guerrero negro,-0.9492,100.3543,85.17,68,80,4.21,ID,1618461891
stavrovo,-38.9516,-68.0591,62.6,48,0,6.91,AR,1618462080
havre,69.3497,87.7602,14.79,90,100,15.08,RU,1618462081
zhigansk,19.5667,-97.2333,55,78,100,10.58,MX,1618462081
miranorte,-21.3667,55.6167,78.8,73,0,4.61,RE,1618461915
katherine,35.1333,140.3,62.6,29,75,10.36,JP,1618461876
ikongo,-3.6954,128.1814,87.8,66,40,6.91,ID,1618461851
mokolo,38.0608,-97.9298,50,43,90,6.91,US,1618462010
mercedes,-21.6403,-41.0511,68.85,81,25,8.93,BR,1618461826
acapulco,60.7522,-137.5108,42.8,49,28,5.75,CA,1618461856
mareeba,57.0531,-135.33,41,93,90,8.05,US,1618462083
matay,20.7667,71.0333,91.06,29,2,6.78,IN,1618462083
havoysund,21.3469,-158.0858,78.8,53,1,10.36,US,1618462084
ironton,-14.6585,17.691,57.54,87,38,2.95,AO,1618461894
mwinilunga,28.3333,-105.4,74.52,11,96,6.17,MX,1618462084
karratha,-32.2522,24.5308,63.93,57,22,1.92,ZA,1618462085
galveston,62.1564,-7.1664,44.6,100,40,10.36,FO,1618461878
comodoro rivadavia,12.2188,125.4808,81.81,83,100,7.96,PH,1618462085
geraldton,58.1286,68.5944,56.71,59,10,11.39,RU,1618462086
kardla,21.65,-101.5,64.78,36,86,7.02,MX,1618462086
hanumangarh,21.4612,-71.1419,73.78,64,4,9.86,TC,1618461824
banda aceh,27.0833,-101.5333,78.35,65,1,13.69,MX,1618461918
tautira,-5.8583,-35.3539,77,94,40,3.44,BR,1618461921
ilulissat,-6.1349,12.3689,77.85,88,100,5.39,AO,1618462087
vrangel,-15.4333,49.7333,76.1,86,68,2.19,MG,1618462087
parkersburg,46.8161,134.26,51.71,20,11,8.57,RU,1618462088
teluknaga,49.6501,-108.4181,30.2,86,31,4.61,CA,1618462088
nemuro,44.0169,-107.9554,28.4,86,90,3.44,US,1618461983
kampong chhnang,49,132.4667,47.44,25,41,9.1,RU,1618462089
padang,10.5669,72.642,83.86,68,3,2.93,IN,1618461925
neuquen,54.3419,101.5036,33.87,71,100,17.6,RU,1618462090
kayerkan,18.7,-95.5,77.99,78,85,4.81,MX,1618461916
perote,31.7668,-93.1335,59,100,90,5.75,US,1618462090
saint-joseph,-11.7844,-38.3531,67.42,91,38,6.04,BR,1618462091
katsuura,41.2971,124.1209,64.4,32,0,17.9,CN,1618462091
ambon,-35.1,173.7833,66.99,66,6,8.01,NZ,1618462091
hutchinson,-9.6608,20.3916,60.39,97,64,3.44,AO,1618462092
sao joao da barra,65.4167,-52.9,18.25,76,99,17.54,GL,1618462092
haines junction,-51.6226,-69.2181,41,81,0,11.5,AR,1618462093
sitka,57.4244,25.9016,37,76,100,5.99,LV,1618462093
delvada,13.9216,44.1467,66.72,56,7,0.49,YE,1618462093
makakilo city,29.5833,-9.5,55.8,92,87,9.22,MA,1618462094
menongue,15,-83.2333,78.39,82,18,9.22,HN,1618462094
maghama,14.2,24.6667,68.65,12,35,8.59,SD,1618461926
jimenez,-0.8833,131.25,87.33,59,77,13.98,ID,1618462033
graaff-reinet,54.7183,135.315,33.48,64,99,14.63,RU,1618462095
vestmanna,37.7782,-81.1882,48.99,100,90,8.05,US,1618461905
alugan,40.5614,65.6886,62.6,39,0,8.75,UZ,1618462095
abalak,-8.65,115.2167,84.2,79,20,10.36,ID,1618462039
ocampo,50.2896,42.1845,58.53,59,96,4.09,RU,1618462096
cockburn town,36.1501,-86.7833,55.4,71,90,3.83,US,1618462096
san buenaventura,31.8931,72.3817,90.23,21,100,8.99,PK,1618462097
macaiba,-13.8833,167.55,82.63,71,66,10.92,VU,1618462097
soyo,15.0286,120.6898,91.4,55,75,2.3,PH,1618462097
maroantsetra,-31.7333,-55.9833,60.76,96,44,3.89,UY,1618462098
bikin,-0.1934,-74.7819,72.1,98,100,0.45,CO,1618462098
shaunavon,32.9952,105.3247,63.79,30,95,8.55,CN,1618462099
worland,-21.15,149.2,81,69,25,14.97,AU,1618462099
bira,48.8264,58.1442,59.52,37,3,17.43,KZ,1618461960
warqla,66.9395,-53.6735,5.22,88,45,17.65,GL,1618462100
kavaratti,60.7333,77.5889,48.2,61,0,13.42,RU,1618462100
